section,subsection,level,parent_item,title,description,full_text
Exterior,,1,,Not Near Airport,There’s nothing worse then being woken up or disrupted by a loud aircraft flying close by,Not Near Airport - There’s nothing worse then being woken up or disrupted by a loud aircraft flying close by
Exterior,,1,,Not Near Railway,Not near a main noisy road or near a railway airport or anything loud.,Not Near Railway - Not near a main noisy road or near a railway airport or anything loud.
Exterior,,1,,Relatively Near Grocery or Corner Store,You need to cook everyday and there’s nothing more annoying than commonly finding yourself to not have the right ingredients you need to cook why you want to cook.,Relatively Near Grocery or Corner Store - You need to cook everyday and there’s nothing more annoying than commonly finding yourself to not have the right ingredients you need to cook why you want to cook.
Exterior,,1,,Quiet Area,Not near a stadium or loud pub or main road. Quiet area.,Quiet Area - Not near a stadium or loud pub or main road. Quiet area.
Exterior,,1,,Hand Prints in Concrete,Leave hand prints and date in the concrete,Hand Prints in Concrete - Leave hand prints and date in the concrete
Exterior,,1,,Detached House,Detached house so we don’t get woken up by neighbours next door and so we don’t wake them up,Detached House - Detached house so we don’t get woken up by neighbours next door and so we don’t wake them up
Exterior,,1,,Solar Panels,Make sure it’s facing the optimal direction,Solar Panels - Make sure it’s facing the optimal direction
Exterior,,1,,Robots and Ai to carve stone,To make caving stone cheaper use a company that uses ai and robots to carve stone.,Robots and Ai to carve stone - To make caving stone cheaper use a company that uses ai and robots to carve stone.
Exterior,,1,,Fungi Mushroom Bricks,Could be more environmentally friendly and make sure they’re flame retardant,Fungi Mushroom Bricks - Could be more environmentally friendly and make sure they’re flame retardant
Exterior,,1,,Good Location,,Good Location
Exterior,,2,Good Location,Close to Supermarket,,Close to Supermarket
Exterior,,2,Good Location,Close to School,,Close to School
Exterior,,2,Good Location,Not Near Noisy Roads,,Not Near Noisy Roads
Exterior,,2,Good Location,West Side City because more wealthy area,,West Side City because more wealthy area
Exterior,,1,,View over the city,I want to be able to look down at the city while in the garden or from my bedroom,View over the city - I want to be able to look down at the city while in the garden or from my bedroom
Exterior,,1,,Near but not too close to train station,,Near but not too close to train station
Exterior,,1,,Biometric Smart Door Locks,"Doors that use fingerprint or facial recognition for secure, keyless entry.","Biometric Smart Door Locks - Doors that use fingerprint or facial recognition for secure, keyless entry."
Exterior,,1,,Driveway Turn Table,to easily turn your car around in a small driveway,Driveway Turn Table - to easily turn your car around in a small driveway
Exterior,,1,,Electric Fast Charging Station for Cars,May want multiple electric fast car stations for multiple cars parked at the house,Electric Fast Charging Station for Cars - May want multiple electric fast car stations for multiple cars parked at the house
Exterior,,1,,Security Cameras,Good enough quality to see faces and number plates. Pay for storage. Connected to the mains so you don’t have to keep changing batteries.,Security Cameras - Good enough quality to see faces and number plates. Pay for storage. Connected to the mains so you don’t have to keep changing batteries.
Exterior,,1,,Heated Driveway,A snow-melting driveway system to prevent slippery surfaces and reduce shoveling in winter.,Heated Driveway - A snow-melting driveway system to prevent slippery surfaces and reduce shoveling in winter.
Exterior,,1,,Don’t use Astro Turf because rubber cancerous,Unless you can find Astro that doesn’t use rubber pallets that can be eaten by children don’t get Astro Turf or any other artificial grass.,Don’t use Astro Turf because rubber cancerous - Unless you can find Astro that doesn’t use rubber pallets that can be eaten by children don’t get Astro Turf or any other artificial grass.
Exterior,,1,,Electric Car Integration with Smart Grid Charging,A smart charging station that can charge electric vehicles during off-peak hours and even return power to the house during shortages.,Electric Car Integration with Smart Grid Charging - A smart charging station that can charge electric vehicles during off-peak hours and even return power to the house during shortages.
Exterior,,1,,"Easy, Quick Secure Electric Bike Storage","Having to spend ages untangling and unlocking a bike lock every morning is very annoying, there should be way to easily secure and charge the electric bike.","Easy, Quick Secure Electric Bike Storage - Having to spend ages untangling and unlocking a bike lock every morning is very annoying, there should be way to easily secure and charge the electric bike."
Exterior,,1,,Horse Field,In the morning you can see your horses just outside your window.,Horse Field - In the morning you can see your horses just outside your window.
Exterior,,1,,AI Security Drones for Home Surveillance,"Small autonomous drones that patrol the property, providing live feeds and alerting homeowners to unusual activity.","AI Security Drones for Home Surveillance - Small autonomous drones that patrol the property, providing live feeds and alerting homeowners to unusual activity."
Layout Floor Plan,,1,,Bedrooms Not Close to Loud Rooms,Ideal room layout. Make sure bedrooms are far from entertaining spaces.,Bedrooms Not Close to Loud Rooms - Ideal room layout. Make sure bedrooms are far from entertaining spaces.
Layout Floor Plan,,1,,Slide Out Stacked Storage Bin Room,Big storage room filled with slide out big bin boxes that can easily labeled.,Slide Out Stacked Storage Bin Room - Big storage room filled with slide out big bin boxes that can easily labeled.
Layout Floor Plan,,1,,Dedicated Mudroom,"A space near the entrance for removing muddy shoes, hanging wet coats, and wiping down pets before entering the main house.","Dedicated Mudroom - A space near the entrance for removing muddy shoes, hanging wet coats, and wiping down pets before entering the main house."
Layout Floor Plan,,1,,Efficient Easy Trash System,make taking out the trash easy and as quick as possible.,Efficient Easy Trash System - make taking out the trash easy and as quick as possible.
Layout Floor Plan,,1,,Bathrooms don’t face Large Rooms,Bathrooms shouldn't face common entertainment spaces like dining rooms or living rooms.,Bathrooms don’t face Large Rooms - Bathrooms shouldn't face common entertainment spaces like dining rooms or living rooms.
Layout Floor Plan,,1,,Kitchen and Garage next to each other to push groceries through a small door,to stop you having to carry all the groceries through the house just have a little hidden door under a cupboard to slide in the groceries from the garage to the kitchen.,Kitchen and Garage next to each other to push groceries through a small door - to stop you having to carry all the groceries through the house just have a little hidden door under a cupboard to slide in the groceries from the garage to the kitchen.
