idea_id,section,subsection,level,parent_item,title,description,full_text,images
idea-0001,Exterior,Location & Environment,1,,Good Location,,Good Location,
idea-0002,Exterior,Location & Environment,2,Good Location,Close to School,,Close to School,
idea-0003,Exterior,Location & Environment,2,Good Location,Close to Supermarket,,Close to Supermarket,
idea-0004,Exterior,Location & Environment,2,Good Location,Not Near Noisy Roads,,Not Near Noisy Roads,
idea-0005,Exterior,Location & Environment,2,Good Location,West Side City because more wealthy area,,West Side City because more wealthy area,
idea-0006,Exterior,Location & Environment,1,,Near but not too close to train station,,Near but not too close to train station,
idea-0007,Exterior,Location & Environment,1,,Not Near Airport,There’s nothing worse then being woken up or disrupted by a loud aircraft flying close by,Not Near Airport - There’s nothing worse then being woken up or disrupted by a loud aircraft flying close by,
idea-0008,Exterior,Location & Environment,1,,Not Near Railway,Not near a main noisy road or near a railway airport or anything loud.,Not Near Railway - Not near a main noisy road or near a railway airport or anything loud.,
idea-0009,Exterior,Location & Environment,1,,Quiet Area,Not near a stadium or loud pub or main road. Quiet area.,Quiet Area - Not near a stadium or loud pub or main road. Quiet area.,
idea-0010,Exterior,Location & Environment,1,,Relatively Near Grocery or Corner Store,You need to cook everyday and there’s nothing more annoying than commonly finding yourself to not have the right ingredients you need to cook why you want to cook.,Relatively Near Grocery or Corner Store - You need to cook everyday and there’s nothing more annoying than commonly finding yourself to not have the right ingredients you need to cook why you want to cook.,
idea-0011,Exterior,Safety & Security,1,,AI Security Drones for Home Surveillance,"Small autonomous drones that patrol the property, providing live feeds and alerting homeowners to unusual activity.","AI Security Drones for Home Surveillance - Small autonomous drones that patrol the property, providing live feeds and alerting homeowners to unusual activity.",
idea-0012,Exterior,Safety & Security,1,,Biometric Smart Door Locks,"Doors that use fingerprint or facial recognition for secure, keyless entry.","Biometric Smart Door Locks - Doors that use fingerprint or facial recognition for secure, keyless entry.",
idea-0013,Exterior,Safety & Security,1,,"Easy, Quick Secure Electric Bike Storage","Having to spend ages untangling and unlocking a bike lock every morning is very annoying, there should be way to easily secure and charge the electric bike.","Easy, Quick Secure Electric Bike Storage - Having to spend ages untangling and unlocking a bike lock every morning is very annoying, there should be way to easily secure and charge the electric bike.",
idea-0014,Exterior,Safety & Security,1,,Security Cameras,Good enough quality to see faces and number plates. Pay for storage. Connected to the mains so you don’t have to keep changing batteries.,Security Cameras - Good enough quality to see faces and number plates. Pay for storage. Connected to the mains so you don’t have to keep changing batteries.,
idea-0015,Exterior,Utilities & Infrastructure,1,,Electric Car Integration with Smart Grid Charging,A smart charging station that can charge electric vehicles during off-peak hours and even return power to the house during shortages.,Electric Car Integration with Smart Grid Charging - A smart charging station that can charge electric vehicles during off-peak hours and even return power to the house during shortages.,
idea-0016,Exterior,Utilities & Infrastructure,1,,Electric Fast Charging Station for Cars,May want multiple electric fast car stations for multiple cars parked at the house,Electric Fast Charging Station for Cars - May want multiple electric fast car stations for multiple cars parked at the house,
idea-0017,Exterior,Specialty & Novelty,1,,Hand Prints in Concrete,Leave hand prints and date in the concrete,Hand Prints in Concrete - Leave hand prints and date in the concrete,
idea-0018,Exterior,General,1,,Detached House,Detached house so we don’t get woken up by neighbours next door and so we don’t wake them up,Detached House - Detached house so we don’t get woken up by neighbours next door and so we don’t wake them up,
idea-0019,Exterior,General,1,,Don’t use Astro Turf because rubber cancerous,Unless you can find Astro that doesn’t use rubber pallets that can be eaten by children don’t get Astro Turf or any other artificial grass.,Don’t use Astro Turf because rubber cancerous - Unless you can find Astro that doesn’t use rubber pallets that can be eaten by children don’t get Astro Turf or any other artificial grass.,
idea-0020,Exterior,General,1,,Driveway Turn Table,to easily turn your car around in a small driveway,Driveway Turn Table - to easily turn your car around in a small driveway,
idea-0021,Exterior,General,1,,Fungi Mushroom Bricks,Could be more environmentally friendly and make sure they’re flame retardant,Fungi Mushroom Bricks - Could be more environmentally friendly and make sure they’re flame retardant,
idea-0022,Exterior,General,1,,Heated Driveway,A snow-melting driveway system to prevent slippery surfaces and reduce shoveling in winter.,Heated Driveway - A snow-melting driveway system to prevent slippery surfaces and reduce shoveling in winter.,
idea-0023,Exterior,General,1,,Horse Field,In the morning you can see your horses just outside your window.,Horse Field - In the morning you can see your horses just outside your window.,
idea-0024,Exterior,General,1,,Robots and Ai to carve stone,To make caving stone cheaper use a company that uses ai and robots to carve stone.,Robots and Ai to carve stone - To make caving stone cheaper use a company that uses ai and robots to carve stone.,
idea-0025,Exterior,General,1,,Solar Panels,Make sure it’s facing the optimal direction,Solar Panels - Make sure it’s facing the optimal direction,
idea-0026,Exterior,General,1,,View over the city,I want to be able to look down at the city while in the garden or from my bedroom,View over the city - I want to be able to look down at the city while in the garden or from my bedroom,
idea-0027,Layout Floor Plan,Location & Environment,1,,Dedicated Mudroom,"A space near the entrance for removing muddy shoes, hanging wet coats, and wiping down pets before entering the main house.","Dedicated Mudroom - A space near the entrance for removing muddy shoes, hanging wet coats, and wiping down pets before entering the main house.",
idea-0028,Layout Floor Plan,Location & Environment,1,,Sound Proof Laundry Room,"Laundry room should be sound proof and away from bedrooms or near the entertainment rooms, and should be out of site, and be able to stay warm in the winter to dry clothes","Sound Proof Laundry Room - Laundry room should be sound proof and away from bedrooms or near the entertainment rooms, and should be out of site, and be able to stay warm in the winter to dry clothes",
idea-0029,Layout Floor Plan,Location & Environment,1,,Washing Machine Near Drying Wracks,Even if you use the drying machine you might want to use drying wracks.,Washing Machine Near Drying Wracks - Even if you use the drying machine you might want to use drying wracks.,
idea-0030,Layout Floor Plan,Layout & Flow,1,,Artificial Skylights,especially on rooms with lots of interior walls or in basement room. This will make a really big difference to the feel of the rooms that. Even ones in the bed rooms might be nice when it’s a cloudy day.,Artificial Skylights - especially on rooms with lots of interior walls or in basement room. This will make a really big difference to the feel of the rooms that. Even ones in the bed rooms might be nice when it’s a cloudy day.,
idea-0031,Layout Floor Plan,Layout & Flow,1,,Back door not in line of front door,"Chinese Superstition says homes with a back door directly in line with the front door are bad luck. They are believed to have Chi come in only to have it go straight out the back door. Chinese superstitious want Chi to come into their homes, stay, and circulate throughout. The more positive energy, the better.","Back door not in line of front door - Chinese Superstition says homes with a back door directly in line with the front door are bad luck. They are believed to have Chi come in only to have it go straight out the back door. Chinese superstitious want Chi to come into their homes, stay, and circulate throughout. The more positive energy, the better.",
idea-0032,Layout Floor Plan,Layout & Flow,1,,Bathrooms don’t face Large Rooms,Bathrooms shouldn't face common entertainment spaces like dining rooms or living rooms.,Bathrooms don’t face Large Rooms - Bathrooms shouldn't face common entertainment spaces like dining rooms or living rooms.,
idea-0033,Layout Floor Plan,Layout & Flow,1,,Bedrooms Not Close to Loud Rooms,Ideal room layout. Make sure bedrooms are far from entertaining spaces.,Bedrooms Not Close to Loud Rooms - Ideal room layout. Make sure bedrooms are far from entertaining spaces.,
idea-0034,Layout Floor Plan,Layout & Flow,1,,Big room for House Entrance space,Big Entrance Room to the house creates an Impressive impression for any visitors to the home.,Big room for House Entrance space - Big Entrance Room to the house creates an Impressive impression for any visitors to the home.,
idea-0035,Layout Floor Plan,Layout & Flow,1,,Cinema room sound proof on all four walls and door,,Cinema room sound proof on all four walls and door,
idea-0036,Layout Floor Plan,Layout & Flow,1,,Cupboards with Secret Door Ways,"A cupboard with a secret back, that can open up to networker secret passageways","Cupboards with Secret Door Ways - A cupboard with a secret back, that can open up to networker secret passageways",
idea-0037,Layout Floor Plan,Layout & Flow,1,,Efficient Easy Trash System,make taking out the trash easy and as quick as possible.,Efficient Easy Trash System - make taking out the trash easy and as quick as possible.,
idea-0038,Layout Floor Plan,Layout & Flow,1,,Elevator,Place to put in a small elevator for when I get old and can’t walk up stairs,Elevator - Place to put in a small elevator for when I get old and can’t walk up stairs,
idea-0039,Layout Floor Plan,Layout & Flow,1,,Gas Boiler in attic,Electric cooker and gas boiler should be in the attic to avoid carbon monoxide poisoning,Gas Boiler in attic - Electric cooker and gas boiler should be in the attic to avoid carbon monoxide poisoning,
idea-0040,Layout Floor Plan,Layout & Flow,1,,Hidden Walk In Pantry,The door of the pantry just looks like a normal kitchen cupboard but actually goes way deeper to reveal a hidden walk in kitchen pantry,Hidden Walk In Pantry - The door of the pantry just looks like a normal kitchen cupboard but actually goes way deeper to reveal a hidden walk in kitchen pantry,
